Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Tina Charles,ATL,C,39,1160,39,39,1160,243,533,0.456,11,42,0.262,232,491,0.473,84,107,0.785,97,374,89,36,20,61,96,581
Layshia Clarendon,LAS,G,21,335,21,12,335,32,75,0.427,7,20,0.35,25,55,0.455,20,23,0.87,6,38,54,15,1,25,44,91
Alysha Clark,LVA,F,40,972,40,18,972,85,192,0.443,47,126,0.373,38,66,0.576,23,28,0.821,21,145,70,33,11,55,107,240
Caitlin Clark,IND,G,40,1416,40,40,1416,242,580,0.417,122,355,0.344,120,225,0.533,163,180,0.906,14,227,337,53,27,223,111,769
Natasha Cloud,PHO,G,38,1265,38,38,1265,152,383,0.397,44,143,0.308,108,240,0.45,90,109,0.826,18,154,263,54,23,115,102,438
Nia Coffey,ATL,F,40,532,40,11,532,48,148,0.324,18,66,0.273,30,82,0.366,16,21,0.762,19,95,46,12,26,40,48,130
Napheesa Collier,MIN,F,34,1180,34,34,1180,268,545,0.492,31,100,0.31,237,445,0.533,127,158,0.804,76,330,115,65,48,70,87,694
Sydney Colson,LVA,G,31,248,31,1,248,27,64,0.422,14,37,0.378,13,27,0.481,8,9,0.889,1,14,30,15,5,14,23,76
Zia Cooke,LAS,G,29,257,29,0,257,36,112,0.321,11,37,0.297,25,75,0.333,20,29,0.69,3,18,17,9,3,21,22,103
Kahleah Copper,PHO,G-F,37,1197,37,37,1197,273,628,0.435,69,220,0.314,204,408,0.5,167,207,0.807,24,168,84,29,3,110,121,782
Lorela Cubaj,ATL,F-C,28,221,28,1,221,15,35,0.429,0,0,,15,35,0.429,3,5,0.6,19,41,15,9,2,12,33,33
Sophie Cunningham,PHO,G,40,1110,40,21,1110,103,240,0.429,68,180,0.378,35,60,0.583,60,69,0.87,16,157,79,41,10,38,91,334
Damiris Dantas,IND,F,20,210,20,0,210,34,74,0.459,13,33,0.394,21,41,0.512,8,12,0.667,4,43,12,5,5,12,20,89
Kaela Davis,CHI,F,4,52,4,0,52,4,12,0.333,2,2,1,2,10,0.2,2,4,0.5,1,4,1,1,2,4,5,12
Marquesha Davis,NYL,G,20,80,20,0,80,9,22,0.409,1,1,1,8,21,0.381,5,7,0.714,2,10,4,1,4,3,11,24
Diamond DeShields,CHI,G,32,441,32,10,441,56,161,0.348,9,52,0.173,47,109,0.431,22,36,0.611,7,46,43,20,8,29,52,143
Skylar Diggins-Smith,SEA,G,40,1262,40,40,1262,218,510,0.427,39,134,0.291,179,376,0.476,130,150,0.867,28,105,257,68,36,110,112,605
Liz Dixon,PHO,F,17,160,17,0,160,11,29,0.379,0,0,,11,29,0.379,8,10,0.8,14,41,9,1,9,8,13,30
Ivana Dojkić,NYL,G,26,257,26,0,257,25,74,0.338,16,42,0.381,9,32,0.281,21,27,0.778,9,22,20,9,1,14,26,87
Stefanie Dolson,WAS,C,39,1011,39,39,1011,133,280,0.475,72,155,0.465,61,125,0.488,33,42,0.786,33,193,103,21,18,68,114,371
Aaliyah Edwards,WAS,F,34,741,34,17,741,103,210,0.49,0,7,0,103,203,0.507,52,80,0.65,48,191,48,25,27,50,91,258
Emily Engstler,WAS,F,32,464,32,3,464,76,155,0.49,27,57,0.474,49,98,0.5,18,22,0.818,44,128,47,19,24,22,49,197
Olivia Époupa,MIN,G,17,114,17,0,114,6,16,0.375,0,0,,6,16,0.375,2,2,1,6,19,26,14,0,15,13,14
Dana Evans,CHI,G,39,743,39,12,743,95,252,0.377,41,109,0.376,54,143,0.378,48,50,0.96,5,43,94,26,5,53,48,279
Temi Fagbenle,IND,C,22,415,22,2,415,58,114,0.509,2,12,0.167,56,102,0.549,22,28,0.786,31,104,20,11,15,27,66,140
Dyaisha Fair,LVA,G,1,4,1,0,4,0,2,0,0,1,0,0,1,0,0,0,,0,0,2,0,0,0,0,0
Dulcy Fankam Mendjiadeu,SEA,F-C,7,36,7,0,36,2,3,0.667,0,0,,2,3,0.667,2,6,0.333,4,9,1,0,0,3,5,6
Leonie Fiebich,NYL,F,40,837,40,15,837,97,203,0.478,55,127,0.433,42,76,0.553,18,25,0.72,39,121,70,38,7,41,88,267
